[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:57:25.089] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送报警器模块数据] |报警灯指令内容:E80101010005,控制类型(00H-停止报警，01H-开始报警):01,发送的hex:FFFF0003000000211B0000019E25EB67E137016433190000000000000000E801010006E80101010005022E
[2026-05-14 17:57:25.092] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到报警器模块数据] |报警器数据：FFFF00030000001FB10000019E25EB3C46370164331900000000000000000000010004E8010100C0DF
[2026-05-14 17:57:25.092] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E8|声光报警器|报警器1] |报警灯控制成功
[2026-05-14 17:57:25.590] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Alarm】：{"code":"0","msgId":"37016433192026051417590105","recvTime":"2026-05-14T17:57:25"}
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |所有socket对象[rsuSocket=Socket[addr=/10.37.244.9,port=36109,localport=9950], vtrSocket=Socket[addr=/10.37.244.9,port=51028,localport=9950], frontVlprSocket=Socket[addr=/10.37.244.9,port=37848,localport=9950], ioSocket=Socket[addr=/10.37.244.9,port=48815,localport=9950], boardSocket=Socket[addr=/10.37.244.9,port=33826,localport=9950]]
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |所有设备上次监控上报0C时间戳[rsuSocket=1778752647770, vtrSocket=1778752648949, frontVlprSocket=1778752645198, ioSocket=1778752647701, boardSocket=1778752648095]
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |当前设备socket标识rsuSocket,当前时间戳1778752649041,上一次监控上报时间戳1778752647770,差值1271
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |当前设备socket标识vtrSocket,当前时间戳1778752649041,上一次监控上报时间戳1778752648949,差值92
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |当前设备socket标识frontVlprSocket,当前时间戳1778752649041,上一次监控上报时间戳1778752645198,差值3843
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |当前设备socket标识ioSocket,当前时间戳1778752649041,上一次监控上报时间戳1778752647701,差值1340
[2026-05-14 17:57:29.041] [3701643319] [INFO] [定时任务] |当前设备socket标识boardSocket,当前时间戳1778752649041,上一次监控上报时间戳1778752648095,差值946
[2026-05-14 17:57:29.994] [3701643319] [INFO] [定时任务] |定时任务-清除结束，共清除了0个过期匝道诱导屏车牌信息
[2026-05-14 17:57:29.994] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [处理流程|车辆交易数据处理] |定时器开始监测外设控制服务与ETC交易服务心跳状态
[2026-05-14 17:57:30.129] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Alarm】,QOS 【1】, 内容:{"action":"0","freq":"0","keepTime":"0","msgId":"37016433192026051417590113","sendTime":"2026-05-14T17:57:29"}

[2026-05-14 17:57:30.129] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |报警器(默认控制 报警灯/后报警灯)控制消息-停止报警
[2026-05-14 17:57:30.129] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送报警器模块数据] |报警灯指令内容:E80101000005,控制类型(00H-停止报警，01H-开始报警):00,发送的hex:FFFF0004000000211B0000019E25EB7B9137016433190000000000000000E801010006E8010100000508E1
[2026-05-14 17:57:30.132] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到报警器模块数据] |报警器数据：FFFF00040000001FB10000019E25EB4FF6370164331900000000000000000000010004E8010100000A
[2026-05-14 17:57:30.132] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E8|声光报警器|报警器1] |报警灯控制成功
[2026-05-14 17:57:30.629] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Alarm】：{"code":"0","msgId":"37016433192026051417590113","recvTime":"2026-05-14T17:57:30"}
[2026-05-14 17:57:31.706] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417590115","sendTime":"2026-05-14T17:57:30","text":"鲁BQ630U_客1_11.00元_山东灵山湾站_总重:1460_轴数:2"}

[2026-05-14 17:57:31.707] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417590115, sendTime=2026-05-14T17:57:30, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=鲁BQ630U_客1_11.00元_山东灵山湾站_总重:1460_轴数:2)
[2026-05-14 17:57:31.707] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：鲁BQ630U_客1_11.00元_山东灵山湾站_总重:1460_轴数:2
[2026-05-14 17:57:31.707] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000C2B34251363330555FBFCD315F31312E3030D4AA5FC9BDB6ABC1E9C9BDCDE5D5BE5FD7DCD6D83A313436305FD6E1CAFD3A32, 待显示文本:鲁BQ630U_客1_11.00元_山东灵山湾站_总重:1460_轴数:2,发送的hex:FFFF0005000000541B0000019E25EB81BB37016433190000000000000000E601010039E6010102000000C2B34251363330555FBFCD315F31312E3030D4AA5FC9BDB6ABC1E9C9BDCDE5D5BE5FD7DCD6D83A313436305FD6E1CAFD3A329E24
[2026-05-14 17:57:31.716] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00050000001FB10000019E25EB5626370164331900000000000000000000010004E60101006BB9
[2026-05-14 17:57:31.716] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:57:32.207] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417590115","recvTime":"2026-05-14T17:57:31"}
[2026-05-14 17:57:32.711] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0090000000C50C6A059C81370164331900000000000000000000000264E000000AE4010000000000000020240530010A0000E4020000000000000020240530010A0000E5060000000000000020240530010A0000E5070000000000000020240530010A0000E5010000000000000020240530010A0000E5020000000000000020240530010A0000E6010000000000000020240530010A0000E7010000000000000020240530010A0000E8010000000000000020240530010A0000F4010000000000000020240530010A0000ECEA]
[2026-05-14 17:57:32.711] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF0090000000B5C06A059C8C37016433190000000000000000E4010AE4010000000000000000000000000000E4020000000000000000000000000000E5060000000000000000000000000000E5070000000000000000000000000000E5010000000000000000000000000000E5020000000000000000000000000000E6010000000000000000000000000000E7010000000000000000000000000000E8010000000000000000000000000000F40100000000000000000000000000008B77
[2026-05-14 17:57:37.721] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0010000000C50C6A059C86370164331900000000000000000000000264E500000AE4010000000000000020240530010A0000E4020000000000000020240530010A0000E5060000000000000020240530010A0000E5070000000000000020240530010A0000E5010000000000000020240530010A0000E5020000000000000020240530010A0000E6010000000000000020240530010A0000E7010000000000000020240530010A0000E8010000000000000020240530010A0000F4010000000000000020240530010A00006AFA]
[2026-05-14 17:57:37.721] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF0010000000B5C06A059C9137016433190000000000000000E4010AE4010000000000000000000000000000E4020000000000000000000000000000E5060000000000000000000000000000E5070000000000000000000000000000E5010000000000000000000000000000E5020000000000000000000000000000E6010000000000000000000000000000E7010000000000000000000000000000E8010000000000000000000000000000F4010000000000000000000000000000D4CD
[2026-05-14 17:57:39.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到车型识别设备模块数据] |车型识别设备数据：FFFF0030000000701C0000019E25C842AE370164331900000000000000000000010055E30101010B00001202119F1E3207580AE600000000C2B34747385735340000000000160000006400000000202605141700096A05938206010100000C01020001130104000119010300011D0201000000030500051ED2AD
[2026-05-14 17:57:39.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [数据交互|收到车型识别设备模块数据] |车型识别设备结果上报：IdentificationResultReport(Hex=E30101010B00001202119F1E3207580AE600000000C2B34747385735340000000000160000006400000000202605141700096A05938206010100000C01020001130104000119010300011D0201000000030500051E, SEQ=null, LEN=null, deviceType=E3, deviceIndex=01, deviceFuncType=01, axleFlag=01, identifyType=0B, vehicleAxleInfo=000012, vehicleAxleCount=02, vehicleWheelBase=119F, vehicleLength=1E32, vehicleWidth=0758, vehicleHeigth=0AE6, dangerousGoods=00, vehicleSpecial=000000, licenseCode=C2B347473857353400000000, licenseColor=00, vehicleSpeed=16, vehicleModel=0000, vehicleColor=00, reliability=64, vehFeatureCode=0000, faceFeatureCode=0000, axleNum=20260514170009, axleTime=6A059382, axleSize=06, axleType=010100000C01020001130104000119010300011D0201000000030500051E, CRC=null)
[2026-05-14 17:57:39.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00300000001FC10000019E25EBA1A137016433190000000000000000E301010004E30101005542
[2026-05-14 17:57:39.873] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/Axle】：{"axleFlag":1,"axleNum":"20260514170009","axleTime":"2026-05-14T17:18:58","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"11","msgId":"37016433192026051417296927","picId":null,"plateColor":0,"plateNum":"鲁GG8W54","pushTime":"2026-05-14T17:57:39","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000012","vehicleColor":0,"vehicleHeigth":2790,"vehicleLength":7730,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":22,"vehicleWheelBase":"4511","vehicleWidth":1880}
[2026-05-14 17:57:42.729] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Barrier】,QOS 【1】, 内容:{"action":"2","index":"1","msgId":"37016433192026051417590130","sendTime":"2026-05-14T17:57:41"}

[2026-05-14 17:57:42.729] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"1","msgId":"37016433192026051417590131","sendTime":"2026-05-14T17:57:41"}

[2026-05-14 17:57:42.729] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |栏杆机控制消息【抬杆】
[2026-05-14 17:57:42.729] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为绿色
[2026-05-14 17:57:42.729] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送电动栏杆机模块数据] |栏杆控制指令内容:E4010101，控制类型(00-落杆 01-抬杆 02-长抬):01,发送的hex:FFFF00060000001F1B0000019E25EBACC937016433190000000000000000E401010004E40101010F2D
[2026-05-14 17:57:42.729] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010101，显示颜色(1-绿色，2-红色，3-黄色):01,发送的hex:FFFF00070000001F1B0000019E25EBACC937016433190000000000000000E701010004E701010150A8
[2026-05-14 17:57:42.729] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E4|电动栏杆机|栏杆机1] |电动栏杆机抬杆到位
[2026-05-14 17:57:42.730] [3701643319] [ERROR] [L3701643319T20260514175127091R12729] [异常信息|异常信息] |未匹配到功能模块类型编码-[FC]、设备字典-[scrollLight]对应的设备功能模块序号，请检查socket字典配置
[2026-05-14 17:57:42.730] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/Barrier】：{"index":"01","msgId":"2026051417296928","pushTime":"2026-05-14T17:57:42","status":"01"}
[2026-05-14 17:57:42.730] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [异常信息|异常信息] |OutEquipmentCtlSvc跑马灯控制异常null
java.lang.NullPointerException: null
[2026-05-14 17:57:42.732] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到电动栏杆机模块数据] |电动栏杆机/电动道闸数据：FFFF00060000002FB10000019E25EB812D370164331900000000000000000000010014E4010100000000000000002D000000000000002D4A7D
[2026-05-14 17:57:42.732] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到电动栏杆机模块数据] |电动栏杆机制响应：RailControlRes(Hex=E4010100000000000000002D000000000000002D, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=01, ctlState=00, unixTm1=000000000000002D, unixTm2=000000000000002D, CRC=null)
[2026-05-14 17:57:42.732] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到电动栏杆机模块数据] |电动栏杆机01(00-落杆 01-抬杆 02-长抬)控制指令执行成功
[2026-05-14 17:57:42.772] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00070000001FB10000019E25EB8130370164331900000000000000000000010004E70101006352
[2026-05-14 17:57:42.773] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:57:42.774] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到电动栏杆机模块数据] |电动栏杆机数据：FFFF00300000001F1C0000019E25EB8131370164331900000000000000000000010004E40102013EEE
[2026-05-14 17:57:42.774] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到电动栏杆机模块数据] |抬落杆到位信号上报：RailLocationReport(Hax=E4010201, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=02, barStaus=01, CRC=null)
[2026-05-14 17:57:42.774] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00300000001FC10000019E25EBACF637016433190000000000000000E401010004E401020024A9
[2026-05-14 17:57:42.783] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/MTCStatusShare】,QOS 【1】, 内容:{"laneType":"1","msgId":"37016433192026051417005868","sendTime":"2026-05-14T17:57:41","tollLaneHex":"3701643319","transStatus":"2"}

[2026-05-14 17:57:42.783] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到消息服务数据] |MTC车道互斥消息-MTCMutexPush(msgId=37016433192026051417005868, sendTime=2026-05-14T17:57:41, tollLaneHex=3701643319, laneType=1, transStatus=2, rsuId=null)
[2026-05-14 17:57:43.230] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417590131","recvTime":"2026-05-14T17:57:42"}
[2026-05-14 17:57:43.230] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Barrier】：{"code":"0","msgId":"37016433192026051417590130","recvTime":"2026-05-14T17:57:42"}
[2026-05-14 17:57:47.742] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0040000000C50C6A059C90370164331900000000000000000000000264EF00000AE4010000000000000020240530010A0000E4020000000000000020240530010A0000E5060000000000000020240530010A0000E5070000000000000020240530010A0000E5010000000000000020240530010A0000E5020000000000000020240530010A0000E6010000000000000020240530010A0000E7010000000000000020240530010A0000E8010000000000000020240530010A0000F4010000000000000020240530010A0000CECF]
[2026-05-14 17:57:47.742] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF0040000000B5C06A059C9B37016433190000000000000000E4010AE4010000000000000000000000000000E4020000000000000000000000000000E5060000000000000000000000000000E5070000000000000000000000000000E5010000000000000000000000000000E5020000000000000000000000000000E6010000000000000000000000000000E7010000000000000000000000000000E8010000000000000000000000000000F4010000000000000000000000000000440D
[2026-05-14 17:57:48.132] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00500000001F1C0000019E25EB9645370164331900000000000000000000010004E507010198BF
[2026-05-14 17:57:48.132] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E5|车辆检测器|车检器7] |车检状态:车检器7有信号
[2026-05-14 17:57:48.132] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:7号,改变后的状态为:true
[2026-05-14 17:57:48.133] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00500000001FC10000019E25EBC1E537016433190000000000000000E507010004E50701001F58
[2026-05-14 17:57:48.133] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"07","msgId":"2026051417296929","pushTime":"2026-05-14T17:57:48","status":"1"}
[2026-05-14 17:57:48.186] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417590138","sendTime":"2026-05-14T17:57:47"}

[2026-05-14 17:57:48.186] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为红色
[2026-05-14 17:57:48.186] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00080000001F1B0000019E25EBC21A37016433190000000000000000E701010004E7010102CAA1
[2026-05-14 17:57:48.194] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00080000001FB10000019E25EB9682370164331900000000000000000000010004E7010100C765
[2026-05-14 17:57:48.194] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:57:48.687] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417590138","recvTime":"2026-05-14T17:57:48"}
[2026-05-14 17:57:48.872] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00600000001F1C0000019E25EB9929370164331900000000000000000000010004E5060100A4A2
[2026-05-14 17:57:48.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E5|车辆检测器|车检器6] |车检状态:车检器6无信号
[2026-05-14 17:57:48.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:6号,改变后的状态为:false
[2026-05-14 17:57:48.873] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00600000001FC10000019E25EBC4C937016433190000000000000000E506010004E5060100A7AA
[2026-05-14 17:57:48.873] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"06","msgId":"2026051417296930","pushTime":"2026-05-14T17:57:48","status":"0"}
[2026-05-14 17:57:49.372] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00700000001F1C0000019E25EB9B1D370164331900000000000000000000010004E5060101CCC6
[2026-05-14 17:57:49.373] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E5|车辆检测器|车检器6] |车检状态:车检器6有信号
[2026-05-14 17:57:49.373] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:6号,改变后的状态为:true
[2026-05-14 17:57:49.373] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00700000001FC10000019E25EBC6BD37016433190000000000000000E506010004E5060100B614
[2026-05-14 17:57:49.373] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"06","msgId":"2026051417296931","pushTime":"2026-05-14T17:57:49","status":"1"}
[2026-05-14 17:57:49.376] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417590142","sendTime":"2026-05-14T17:57:48","text":"请放入通行卡或刷ETC卡___"}

[2026-05-14 17:57:49.376] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417590142, sendTime=2026-05-14T17:57:48, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=请放入通行卡或刷ETC卡___)
[2026-05-14 17:57:49.376] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：请放入通行卡或刷ETC卡___
[2026-05-14 17:57:49.376] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000C7EBB7C5C8EBCDA8D0D0BFA8BBF2CBA2455443BFA85F5F5F, 待显示文本:请放入通行卡或刷ETC卡___,发送的hex:FFFF00090000003A1B0000019E25EBC6C037016433190000000000000000E60101001FE6010102000000C7EBB7C5C8EBCDA8D0D0BFA8BBF2CBA2455443BFA85F5F5F510F
[2026-05-14 17:57:49.381] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00090000001FB10000019E25EB9B25370164331900000000000000000000010004E6010100461D
[2026-05-14 17:57:49.381] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:57:49.552] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00800000001F1C0000019E25EB9BD1370164331900000000000000000000010004E5070100114D
[2026-05-14 17:57:49.552] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [ ] [设备信息|E5|车辆检测器|车检器7] |车检状态:车检器7无信号
[2026-05-14 17:57:49.553] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:7号,改变后的状态为:false
[2026-05-14 17:57:49.553] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|下发上报确认C1帧] |C1：FFFF00800000001FC10000019E25EBC77137016433190000000000000000E507010004E5070100A0ED
[2026-05-14 17:57:49.553] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"07","msgId":"2026051417296932","pushTime":"2026-05-14T17:57:49","status":"0"}
[2026-05-14 17:57:49.577] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417590143","sendTime":"2026-05-14T17:57:48","text":"欢迎行驶高速公路___"}

[2026-05-14 17:57:49.577] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417590143, sendTime=2026-05-14T17:57:48, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=欢迎行驶高速公路___)
[2026-05-14 17:57:49.577] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：欢迎行驶高速公路___
[2026-05-14 17:57:49.577] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F, 待显示文本:欢迎行驶高速公路___,发送的hex:FFFF0001000000351B0000019E25EBC78937016433190000000000000000E60101001AE6010102000000BBB6D3ADD0D0CABBB8DFCBD9B9ABC2B75F5F5F4C44
[2026-05-14 17:57:49.577] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417590143","recvTime":"2026-05-14T17:57:49"}
[2026-05-14 17:57:49.597] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00010000001FB10000019E25EB9BFD370164331900000000000000000000010004E601010006D1
[2026-05-14 17:57:49.597] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:57:49.628] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417590144","sendTime":"2026-05-14T17:57:48"}

[2026-05-14 17:57:49.628] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|收到远程值守服务数据] |通行信号灯控制消息-设置为红色
[2026-05-14 17:57:49.629] [3701643319] [INFO] [L3701643319T20260514175127091R12729] [数据交互|发送通行信号灯模块数据] |通行信号灯指令内容:E7010102，显示颜色(1-绿色，2-红色，3-黄色):02,发送的hex:FFFF00020000001F1B0000019E25EBC7BC37016433190000000000000000E701010004E7010102A244
[2026-05-14 17:57:49.629] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Trafficlight】,QOS 【1】, 内容:{"action":"2","msgId":"37016433192026051417590145","sendTime":"2026-05-14T17:57:48"}

[2026-05-14 17:57:49.629] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Barrier】,QOS 【1】, 内容:{"action":"1","index":"1","msgId":"37016433192026051417590146","sendTime":"2026-05-14T17:57:48"}

